VARIANT:std
SCENE:caustics
14.6089,0.033973
8.4508,0.032548
6.2590,0.032542
4.9812,0.032584
4.4541,0.032844
3.9324,0.032567
3.5739,0.032684
3.4020,0.032850
3.2943,0.032673
3.0428,0.032685
2.8258,0.032692
2.6522,0.032640
2.4983,0.032538
2.3767,0.032715
2.2740,0.032747
2.1676,0.032673
2.0934,0.032603
2.0520,0.032714
2.0333,0.032696
1.9578,0.032517
1.8934,0.032563
1.8591,0.032743
1.8090,0.032748
1.7602,0.032522
1.7109,0.032799
1.6714,0.032646
1.6364,0.032686
1.5925,0.032693
1.5517,0.032675
1.5115,0.032808
1.4758,0.032786
1.4654,0.032533
1.4312,0.032560
1.4397,0.032632
1.4221,0.032534
1.4284,0.032602
1.3985,0.032600
1.3719,0.032662
1.3474,0.032929
1.3446,0.032641
1.3220,0.032820
1.2994,0.033857
1.2797,0.032683
1.2806,0.032775
1.2607,0.032703
1.2535,0.032771
1.2389,0.032673
1.2245,0.032727
1.2062,0.032714
1.1906,0.032994
1.1767,0.034389
1.1600,0.032678
1.1471,0.032676
1.1394,0.032582
1.1322,0.032735
1.1230,0.032551
1.1115,0.032643
1.0976,0.032724
1.0917,0.032541
1.0795,0.032612
1.0829,0.032711
1.0806,0.032583
1.0710,0.032694
1.0617,0.032568
1.0521,0.032690
1.0413,0.032693
1.0410,0.032552
1.0305,0.032622
1.0197,0.032718
1.0103,0.032701
1.0095,0.032574
1.0126,0.032522
1.0043,0.032710
1.0066,0.032838
0.9971,0.032709
0.9922,0.032530
0.9907,0.032545
0.9889,0.032972
0.9827,0.032539
0.9743,0.032701
0.9692,0.032583
0.9605,0.032536
0.9543,0.032656
0.9469,0.032557
0.9385,0.032570
0.9311,0.032804
0.9228,0.032533
0.9149,0.032562
0.9088,0.032573
0.9038,0.032719
0.9035,0.032690
0.8966,0.032638
0.8920,0.032527
0.8923,0.032850
0.8861,0.032655
0.8807,0.032752
0.8745,0.032731
0.8680,0.032689
0.8621,0.032822
0.8635,0.032594
0.8579,0.032812
0.8519,0.032728
0.8491,0.032536
0.8442,0.032734
0.8380,0.032540
0.8373,0.032538
0.8319,0.032714
0.8269,0.032544
0.8205,0.032530
0.8168,0.032607
0.8123,0.032604
0.8084,0.032668
0.8046,0.032970
0.7996,0.032600
0.8003,0.032754
0.7954,0.032568
0.7911,0.032588
0.7855,0.032744
0.7860,0.032577
0.7814,0.032590
0.7762,0.032780
0.7750,0.032720
0.7709,0.032608
0.7674,0.032630
0.7644,0.032613
0.7600,0.032909
0.7552,0.032571
0.7571,0.032643
0.7525,0.032572
0.7518,0.032618
0.7499,0.032625
0.7457,0.032591
0.7451,0.032602
0.7411,0.032677
0.7372,0.032568
0.7333,0.032550
0.7294,0.032716
0.7279,0.032589
0.7248,0.032539
0.7205,0.032650
0.7185,0.032548
0.7140,0.032684
0.7107,0.032829
0.7103,0.032556
0.7073,0.032803
0.7075,0.032832
0.7038,0.032541
0.7012,0.032922
0.6991,0.032586
0.7030,0.032943
0.7009,0.032766
0.7012,0.032698
0.6976,0.032678
0.6942,0.032599
0.6910,0.032610
0.6923,0.032678
0.6888,0.032611
0.6855,0.032566
0.6822,0.032605
0.6793,0.032631
0.6765,0.032707
0.6770,0.032846
0.6753,0.032516
0.6721,0.032826
0.6721,0.032575
0.6692,0.032618
0.6666,0.032560
0.6641,0.032543
0.6632,0.032548
0.6622,0.032675
0.6598,0.032623
0.6589,0.032672
0.6584,0.032545
0.6555,0.032596
0.6542,0.032561
0.6529,0.032584
0.6501,0.032582
0.6504,0.032796
0.6476,0.032602
0.6449,0.032661
0.6437,0.032526
0.6417,0.032638
0.6400,0.032566
0.6408,0.032594
0.6430,0.032790
0.6412,0.032680
0.6387,0.032546
0.6358,0.032602
0.6334,0.032547
0.6338,0.032656
0.6313,0.032618
0.6290,0.032574
0.6271,0.032532
0.6247,0.032602
0.6223,0.032541
0.6196,0.032664
0.6175,0.032575
0.6153,0.033350
0.6128,0.032614
0.6109,0.032557

