VARIANT:std
SCENE:cornell
2.7757,0.501042
1.9886,0.495346
1.6386,0.495436
1.4076,0.496529
1.2477,0.498359
1.1387,0.503576
1.0595,0.519208
0.9887,0.537637
0.9290,0.494315
0.8798,0.494233
0.8468,0.494572
0.8103,0.494404
0.7781,0.499915
0.7494,0.493531
0.7237,0.494877
0.7004,0.493625
0.6785,0.494755
0.6598,0.493902
0.6421,0.494387
0.6248,0.495954
0.6094,0.495230
0.5960,0.495018
0.5835,0.494879
0.5717,0.497121
0.5597,0.495220
0.5483,0.497545
0.5403,0.494370
0.5305,0.493223
0.5214,0.494895
0.5122,0.493992
0.5034,0.495069
0.4948,0.494244
0.4870,0.495588
0.4794,0.493834
0.4729,0.493433
0.4656,0.493671
0.4595,0.496840
0.4536,0.493986
0.4476,0.493909
0.4422,0.494150
0.4370,0.493598
0.4316,0.493565
0.4263,0.495234
0.4212,0.494511
0.4170,0.494147
0.4122,0.494216
0.4080,0.493881
0.4043,0.494283
0.4002,0.494698
0.3963,0.495702
0.3922,0.494431
0.3883,0.494123
0.3847,0.497787
0.3810,0.495319
0.3774,0.493819
0.3742,0.493831
0.3707,0.494927
0.3675,0.493815
0.3641,0.495600
0.3609,0.493451

