VARIANT:mt
2.9256,0.608190
2.1107,0.605872
1.7440,0.609504
1.5137,0.704327
1.3539,0.606605
1.2302,0.604831
1.1436,0.606152
1.0636,0.606955
1.0024,0.604736
0.9491,0.605761
0.9041,0.606927
0.8638,0.606333
0.8286,0.610443
0.7973,0.604992
0.7699,0.603247
0.7452,0.606425
0.7235,0.605057
0.7035,0.606674
0.6865,0.604682
0.6695,0.604391
0.6548,0.605581
0.6390,0.604672
0.6236,0.604893
0.6106,0.605043
0.5985,0.629676
0.5870,0.603923
0.5765,0.604456
0.5655,0.605532
0.5554,0.603728
0.5456,0.602964
0.5364,0.604269
0.5278,0.607751
0.5194,0.604744
0.5113,0.604559
0.5038,0.603878
0.4970,0.603895
0.4900,0.604013
0.4836,0.604939
0.4776,0.604301
0.4718,0.604926
0.4669,0.606514
0.4619,0.603784
0.4568,0.605796
0.4517,0.606599
0.4462,0.604679
0.4418,0.606228
0.4372,0.604868
0.4331,0.604439
0.4284,0.603076
0.4243,0.605247
0.4201,0.604511
0.4162,0.603403
0.4121,0.605659
0.4082,0.603332
0.4045,0.603907
0.4010,0.604138
0.3976,0.604646
0.3941,0.603636
0.3911,0.608629
0.3878,0.607485
0.3846,0.603225
0.3816,0.605258
0.3784,0.603931
0.3753,0.603484
0.3723,0.604548
0.3698,0.605451
0.3675,0.603853
0.3651,0.604655
0.3625,0.603028
0.3599,0.605981
0.3576,0.604464
0.3551,0.605178
0.3527,0.606625
0.3505,0.604023
0.3482,0.604733
0.3459,0.603513
0.3434,0.604923
0.3412,0.604025
0.3390,0.603207
0.3369,0.603758
0.3347,0.603707
0.3326,0.610014
0.3306,0.605383
0.3288,0.604155
0.3270,0.604783
0.3251,0.604081
0.3232,0.605799
0.3215,0.605440
0.3197,0.605321
0.3179,0.605598
0.3160,0.605829
0.3143,0.605568
0.3128,0.603645
0.3110,0.605076
0.3093,0.604724
0.3079,0.604054
0.3063,0.604949
0.3047,0.604907
0.3033,0.604679
0.3017,0.605287

